id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42960527,Bungalow in Asheville · 1 bedroom · 1 bed · 1 bath,93327459,Chelsea,,28806,35.58119,-82.59243,Entire home/apt,75,30,0,,,1,0,0,
42966700,Cottage in Asheville · ★4.95 · 2 bedrooms · 3 beds · 1 bath,267251966,Jeff,,28806,35.52276,-82.61107,Entire home/apt,119,2,134,2023-06-04,3.70,4,170,28,
42975839,Home in Asheville · ★5.0 · 2 bedrooms · 3 beds · 1 bath,138584667,Tony And Kathy,,28805,35.59918,-82.49802,Entire home/apt,181,3,42,2022-12-31,1.17,1,333,7,
42980053,Campsite in Asheville · ★4.89 · 1 bed · 1 bath,151279507,Bobby And Amanda,,28806,35.61151,-82.60368,Entire home/apt,19,1,62,2023-05-28,1.69,19,355,16,
42980378,Treehouse in Asheville · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,151279507,Bobby And Amanda,,28806,35.61354,-82.60378,Private room,27,1,92,2023-05-27,2.46,19,357,20,
42981397,Campsite in Asheville · ★4.75 · 1 bed · 1 bath,151279507,Bobby And Amanda,,28806,35.61383,-82.60288,Entire home/apt,19,1,24,2022-09-25,0.66,19,348,3,
43043089,Home in Asheville · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,86592503,Elizabeth,,28806,35.56728,-82.59674,Entire home/apt,198,3,19,2022-09-26,0.50,2,313,1,
43047912,Bungalow in Asheville · 2 bedrooms · 3 beds · 1 bath,13865975,Méda,,28803,35.57022,-82.52827,Entire home/apt,120,30,1,2020-04-18,0.03,1,31,0,
43051231,Home in Asheville · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,342675366,Bridgit,,28801,35.58967,-82.56577,Entire home/apt,127,2,154,2023-06-14,4.13,1,53,43,
43056604,Home in Asheville · ★3.83 · 2 bedrooms · 2 beds · 1 bath,162161772,Dave & Stephanie,,28806,35.57704,-82.58296,Entire home/apt,109,30,6,2021-07-24,0.18,4,327,0,
43123763,Cabin in Candler · ★4.85 · 3 bedrooms · 4 beds · 2 baths,246993350,Barry & Sherry,,28715,35.51044,-82.66147,Entire home/apt,145,2,128,2023-06-04,3.60,6,170,37,
43124217,Home in Candler · ★4.89 · 3 bedrooms · 4 beds · 2 baths,246993350,Barry & Sherry,,28715,35.50888,-82.66292,Entire home/apt,154,2,114,2023-06-03,3.23,6,329,40,
43140129,Condo in Asheville · ★4.93 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,254,2,56,2023-04-08,1.57,10,258,15,
43140131,Condo in Asheville · ★4.91 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,354,2,54,2022-08-01,1.48,10,263,3,
43140136,Condo in Asheville · ★4.89 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,254,2,36,2023-04-09,0.99,10,313,8,
43140142,Condo in Asheville · ★4.78 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,241,3,32,2023-04-08,0.89,10,315,5,
43140149,Condo in Asheville · ★4.83 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.595245,-82.552185,Entire home/apt,241,2,35,2023-04-03,0.99,10,318,7,
43140161,Condo in Asheville · ★4.98 · 1 bedroom · 3 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,322,2,40,2023-04-02,1.12,10,302,8,
43140162,Condo in Asheville · ★4.93 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,254,2,27,2023-04-16,0.76,10,313,6,
43140167,Condo in Asheville · ★4.93 · 1 bedroom · 2 beds · 0 baths,343440528,Arras,,28801,35.59524,-82.55219,Entire home/apt,255,2,40,2023-04-14,1.11,10,314,9,
43205362,Home in Asheville · ★5.0 · 3 bedrooms · 4 beds · 1 bath,129158630,Hartwell,,28801,35.58441,-82.55957,Entire home/apt,265,30,5,2022-09-06,0.14,1,13,1,
43221206,Home in Asheville · ★4.67 · Studio · 1 bed · 1 bath,11100294,Jane,,28805,35.62667,-82.47135,Entire home/apt,57,29,12,2022-11-30,0.34,2,179,3,
43256573,Guesthouse in Asheville · ★4.94 · 1 bedroom · 2 beds · 1 bath,266195,Amanda,,28806,35.56795,-82.61205,Entire home/apt,101,1,190,2023-06-03,5.51,1,243,90,
43268496,Guest suite in Asheville · ★4.94 · 1 bedroom · 1 bed · 1 bath,23952961,Caroline,,28806,35.58492,-82.58925,Entire home/apt,112,2,63,2023-05-09,1.86,1,0,16,
43279322,Guest suite in Asheville · ★4.96 · 2 bedrooms · 3 beds · 2 baths,417218121,Briana,,28806,35.56988,-82.59112,Entire home/apt,165,2,77,2023-05-29,2.97,1,132,24,
43300939,Home in Fletcher · ★4.92 · 3 bedrooms · 4 beds · 1 bath,98518636,Alicia,,28732,35.4404,-82.51607,Entire home/apt,120,2,150,2023-06-11,4.08,1,333,45,
43325315,Bed and breakfast in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,196608665,Diane,,28801,35.60602,-82.56286,Private room,226,1,7,2022-02-19,0.19,5,171,0,
